Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0012D-1H-1, 24.5 cm",NULL,0.242,0.245,0.242,0.245,"C0012D-1H-1, 25.5 cm",NULL,0.252,0.255,0.252,0.255,"C0012D-1H-1 WR, 24.5--25.5 cm",CKY000000000004613300,PP,NULL,5,mstrasser333,NULL,CKY,2010-12-28T04:44:50Z,154,glass beaker,6.047,2.683,13.7609,7.7772,7.7139,154,glass beaker,6.047,2.683,10.3278,4.3591,4.2808,3.5576,3.4742,1.62,5.0942,1.6761,0.1245,0.0561,4.1563,0.4612,0.856,1.5143,0.8159,2.5656,0.682,2.1446,fujiharaa,2011-01-04T00:06:05Z
"C0012D-1H-2, 19.0 cm",NULL,0.784,0.795,0.784,0.795,"C0012D-1H-2, 21.0 cm",NULL,0.804,0.815,0.804,0.815,"C0012D-1H-2 WR, 19.0--21.0 cm",CKY000000000004555800,PP,NULL,3,bora333,NULL,CKY,2010-12-27T06:20:46Z,141,glass beaker,6.02,2.675,9.028,4.692,3.008,141,glass beaker,6.02,2.675,7.6254,3.2955,1.6054,1.4535,1.4194,0.5976,2.017,0.6205,0.0509,0.0229,1.5545,0.4832,0.935,1.4913,0.7707,2.6012,0.7037,2.3752,fujiharaa,2011-01-04T00:06:05Z
"C0012D-2H-1, 114.0 cm",NULL,118.962,119.14,118.962,119.14,"C0012D-2H-1, 116.0 cm",NULL,118.979,119.16,118.979,119.16,"C0012D-2H-1 W, 114.0--116.0 cm",CKY000000000004815200,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,163,glass beaker,6.088,2.732,13.8827,7.3799,7.7947,163,glass beaker,6.088,2.732,11.0427,4.5523,4.9547,2.943,2.874,1.7739,4.6479,1.8203,0.103,0.0464,4.8517,0.3776,0.6066,1.677,1.0438,2.735,0.6183,1.6202,fujiharaa,2011-01-04T00:06:06Z
"C0012D-2H-2, 21.0 cm",NULL,119.367,119.62,119.367,119.62,"C0012D-2H-2, 23.0 cm",NULL,119.384,119.64,119.384,119.64,"C0012D-2H-2 W, 21.0--23.0 cm",CKY000000000004815300,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,623,glass beaker,6.083,2.721,11.7718,6.0671,5.6888,623,glass beaker,6.083,2.721,9.8037,4.1076,3.7207,2.0395,1.9917,1.3544,3.3461,1.3866,0.0714,0.0322,3.6493,0.3585,0.5589,1.7001,1.0906,2.6944,0.5952,1.4705,fujiharaa,2011-01-04T00:06:06Z
"C0012D-2H-3, 26.5 cm",NULL,119.73,120.05,119.73,120.05,"C0012D-2H-3, 28.5 cm",NULL,119.747,120.07,119.747,120.07,"C0012D-2H-3 WR, 26.5--28.5 cm",CKY000000000004572200,PP,NULL,3,bora333,NULL,CKY,2010-12-27T11:22:28Z,27,glass beaker,4.638,2.071,14.0705,7.6886,9.4325,27,glass beaker,4.638,2.071,10.697,4.3297,6.059,3.4959,3.414,2.2036,5.6176,2.2587,0.1224,0.0551,5.9366,0.3706,0.5889,1.6791,1.0568,2.694,0.6077,1.5493,fujiharaa,2011-01-04T00:06:05Z
"C0012D-2H-4, 45.0 cm",NULL,120.127,120.52,120.127,120.52,"C0012D-2H-4, 47.0 cm",NULL,120.144,120.54,120.144,120.54,"C0012D-2H-4 W, 45.0--47.0 cm",CKY000000000004815400,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,125,glass beaker,6.084,2.735,12.3711,6.4189,6.2871,125,glass beaker,6.084,2.735,10.1838,4.2411,4.0998,2.2666,2.2135,1.4704,3.6839,1.5061,0.0793,0.0357,4.0205,0.3605,0.5638,1.7066,1.0914,2.7343,0.6009,1.5054,fujiharaa,2011-01-04T00:06:06Z
"C0012D-2H-5, 20.0 cm",NULL,120.587,121.065,120.587,121.065,"C0012D-2H-5, 22.0 cm",NULL,120.604,121.085,120.604,121.085,"C0012D-2H-5 W, 20.0--22.0 cm",CKY000000000004815500,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,160,glass beaker,6.044,2.724,13.6,7.195,7.556,160,glass beaker,6.044,2.724,10.8546,4.4616,4.8106,2.845,2.7783,1.6927,4.471,1.7376,0.0996,0.0449,4.711,0.3765,0.6039,1.69,1.0537,2.7831,0.6214,1.6413,fujiharaa,2011-01-04T00:06:06Z
"C0012D-2H-5, 86.0 cm",NULL,121.144,121.725,121.144,121.725,"C0012D-2H-5, 88.0 cm",NULL,121.161,121.745,121.161,121.745,"C0012D-2H-5 W, 86.0--88.0 cm",CKY000000000004815600,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,113,glass beaker,5.98,2.642,11.3263,5.914,5.3463,113,glass beaker,5.98,2.642,9.3325,3.9289,3.3525,2.0661,2.0177,1.2543,3.272,1.2869,0.0723,0.0326,3.2802,0.3865,0.6299,1.634,1.0025,2.6152,0.6167,1.6086,fujiharaa,2011-01-04T00:06:06Z
"C0012D-2H-6, 21.0 cm",NULL,121.554,122.21,121.554,122.21,"C0012D-2H-6, 23.0 cm",NULL,121.571,122.23,121.571,122.23,"C0012D-2H-6 W, 21.0--23.0 cm",CKY000000000004815700,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,143,glass beaker,5.964,2.683,11.0511,5.793,5.0871,143,glass beaker,5.964,2.683,9.1211,3.8714,3.1571,2,1.9531,1.1569,3.11,1.1884,0.07,0.0315,3.0871,0.3932,0.6479,1.6357,0.9926,2.6684,0.628,1.6882,fujiharaa,2011-01-04T00:06:07Z
"C0012D-2H-6, 116.0 cm",NULL,122.356,123.16,122.356,123.16,"C0012D-2H-6, 118.0 cm",NULL,122.372,123.18,122.372,123.18,"C0012D-2H-6 W, 116.0--118.0 cm",CKY000000000004815800,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,631,glass beaker,5.985,2.726,10.9471,5.7198,4.9621,631,glass beaker,5.985,2.726,9.0986,3.8794,3.1136,1.9155,1.8706,1.1232,2.9938,1.1534,0.067,0.0302,3.0466,0.386,0.6287,1.6575,1.0176,2.7124,0.6248,1.6654,fujiharaa,2011-01-04T00:06:07Z
"C0012D-2H-7, 22.0 cm",NULL,122.761,123.64,122.761,123.64,"C0012D-2H-7, 24.0 cm",NULL,122.778,123.66,122.778,123.66,"C0012D-2H-7 W, 22.0--24.0 cm",CKY000000000004815900,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,640,glass beaker,6.102,2.764,10.9471,5.768,4.8451,640,glass beaker,6.102,2.764,9.0583,3.8875,2.9563,1.9573,1.9114,1.0926,3.004,1.1235,0.0685,0.0309,2.8878,0.404,0.6778,1.6129,0.9613,2.6431,0.6363,1.7494,fujiharaa,2011-01-04T00:06:07Z
"C0012D-2H-7, 121.0 cm",NULL,123.596,124.63,123.596,124.63,"C0012D-2H-7, 123.0 cm",NULL,123.613,124.65,123.613,124.65,"C0012D-2H-7 W, 121.0--123.0 cm",CKY000000000004816000,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,36,glass beaker,4.521,2.046,10.8705,5.8058,6.3495,36,glass beaker,4.521,2.046,8.5785,3.5238,4.0575,2.3751,2.3194,1.4404,3.7598,1.4778,0.0831,0.0374,3.9744,0.3741,0.5976,1.6888,1.0571,2.7592,0.6169,1.6102,fujiharaa,2011-01-04T00:06:07Z
"C0012D-2H-8, 23.0 cm",NULL,123.993,125.1,123.993,125.1,"C0012D-2H-8, 25.0 cm",NULL,124.01,125.12,124.01,125.12,"C0012D-2H-8 W, 23.0--25.0 cm",CKY000000000004816100,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,165,glass beaker,5.981,2.685,11.9996,6.3719,6.0186,165,glass beaker,5.981,2.685,9.6955,4.0779,3.7145,2.3877,2.3317,1.3552,3.6869,1.3929,0.0836,0.0377,3.6309,0.3967,0.6576,1.6324,0.9848,2.6792,0.6324,1.7206,fujiharaa,2011-01-04T00:06:07Z
"C0012D-2H-8, 104.0 cm",NULL,124.677,125.91,124.677,125.91,"C0012D-2H-8, 106.0 cm",NULL,124.694,125.93,124.694,125.93,"C0012D-2H-8 W, 104.0--106.0 cm",CKY000000000004816200,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,644,glass beaker,6.162,2.766,13.4733,7.1615,7.3113,644,glass beaker,6.162,2.766,10.7683,4.4683,4.6063,2.8031,2.7374,1.6581,4.3955,1.7023,0.0981,0.0442,4.5082,0.3834,0.6218,1.6634,1.0256,2.7189,0.6228,1.6509,fujiharaa,2011-01-04T00:06:07Z
"C0012D-2H-9, 28.0 cm",NULL,125.259,126.6,125.259,126.6,"C0012D-2H-9, 30.0 cm",NULL,125.276,126.62,125.276,126.62,"C0012D-2H-9 W, 28.0--30.0 cm",CKY000000000004816300,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:38:56Z,152,glass beaker,6.058,2.743,12.0333,6.3412,5.9753,152,glass beaker,6.058,2.743,9.7635,4.0813,3.7055,2.3521,2.297,1.3012,3.5982,1.3383,0.0823,0.0371,3.6232,0.3936,0.6492,1.6606,1.0069,2.7845,0.6384,1.7653,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-1, 38.0 cm",NULL,126.862,126.88,126.862,126.88,"C0012D-3H-1, 40.0 cm",NULL,126.881,126.9,126.881,126.9,"C0012D-3H-1 W, 38.0--40.0 cm",CKY000000000004816400,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,166,glass beaker,6.106,2.721,11.9659,6.2657,5.8599,166,glass beaker,6.106,2.721,9.7858,4.095,3.6798,2.2592,2.2063,1.3384,3.5447,1.374,0.0791,0.0356,3.6007,0.3855,0.6274,1.6531,1.0158,2.6903,0.6224,1.6485,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-1, 129.0 cm",NULL,127.728,127.79,127.728,127.79,"C0012D-3H-1, 131.0 cm",NULL,127.747,127.81,127.747,127.81,"C0012D-3H-1 W, 129.0--131.0 cm",CKY000000000004816500,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,121,glass beaker,6.07,2.7,12.088,6.2056,6.018,121,glass beaker,6.07,2.7,10.0849,4.2112,4.0149,2.0758,2.0271,1.4785,3.5056,1.5112,0.0727,0.0327,3.9422,0.3449,0.5266,1.7167,1.1245,2.6664,0.5782,1.3711,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-2, 25.0 cm",NULL,128.089,128.17,128.089,128.17,"C0012D-3H-2, 27.0 cm",NULL,128.109,128.19,128.109,128.19,"C0012D-3H-2 W, 25.0--27.0 cm",CKY000000000004816600,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,6,glass beaker,4.524,2.039,9.6093,5.0159,5.0853,6,glass beaker,4.524,2.039,7.8137,3.2281,3.2897,1.8607,1.8171,1.1598,2.9769,1.1891,0.0651,0.0293,3.2246,0.3659,0.577,1.7083,1.0832,2.7803,0.6104,1.5667,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-2, 103.0 cm",NULL,128.832,128.95,128.832,128.95,"C0012D-3H-2, 105.0 cm",NULL,128.851,128.97,128.851,128.97,"C0012D-3H-2 W, 103.0--105.0 cm",CKY000000000004816700,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,187,glass beaker,6.123,2.742,11.2669,5.8069,5.1439,187,glass beaker,6.123,2.742,9.4553,4.0032,3.3323,1.8773,1.8333,1.2316,3.0649,1.2612,0.0657,0.0296,3.2666,0.365,0.5747,1.6783,1.0658,2.6523,0.5982,1.4886,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-2, 125.5 cm",NULL,129.046,129.175,129.046,129.175,"C0012D-3H-2, 126.5 cm",NULL,129.056,129.185,129.056,129.185,"C0012D-3H-2 WR, 125.5--126.5 cm",CKY000000000004616700,PP,NULL,5,mstrasser333,NULL,CKY,2010-12-28T05:22:57Z,6,glass beaker,4.524,2.039,12.1804,6.6307,7.6564,6,glass beaker,4.524,2.039,9.4236,3.8859,4.8996,2.8568,2.7898,1.8019,4.5917,1.8469,0.1,0.045,4.7996,0.3731,0.5952,1.6674,1.0453,2.6636,0.6076,1.5483,fujiharaa,2011-01-04T00:06:06Z
"C0012D-3H-3, 28.5 cm",NULL,129.47,129.62,129.47,129.62,"C0012D-3H-3, 30.5 cm",NULL,129.489,129.64,129.489,129.64,"C0012D-3H-3 WR, 28.5--30.5 cm",CKY000000000004579400,PP,NULL,3,mstrasser333,NULL,CKY,2010-12-27T14:22:45Z,636,glass beaker,6.107,2.76,12.2831,6.5149,6.1761,636,glass beaker,6.107,2.76,9.9033,4.1455,3.7963,2.4661,2.4083,1.3466,3.7549,1.3855,0.0863,0.0389,3.71,0.3993,0.6647,1.6448,0.988,2.7551,0.6414,1.7884,fujiharaa,2011-01-04T00:06:05Z
"C0012D-3H-4, 15.0 cm",NULL,129.631,129.79,129.631,129.79,"C0012D-3H-4, 17.0 cm",NULL,129.65,129.81,129.65,129.81,"C0012D-3H-4 W, 15.0--17.0 cm",CKY000000000004816800,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,180,glass beaker,6.061,2.715,11.5258,6.0554,5.4648,180,glass beaker,6.061,2.715,9.4469,3.9856,3.3859,2.1543,2.1038,1.2366,3.3404,1.2706,0.0754,0.034,3.3105,0.3942,0.6507,1.636,0.991,2.6771,0.6298,1.7013,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-4, 114.0 cm",NULL,130.574,130.78,130.574,130.78,"C0012D-3H-4, 116.0 cm",NULL,130.593,130.8,130.593,130.8,"C0012D-3H-4 W, 114.0--116.0 cm",CKY000000000004816900,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,164,glass beaker,6.12,2.749,11.1818,5.7212,5.0618,164,glass beaker,6.12,2.749,9.286,3.8336,3.166,1.9646,1.9186,1.0536,2.9722,1.0846,0.0688,0.031,3.0972,0.3881,0.6343,1.703,1.0421,2.9396,0.6455,1.821,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-5, 36.0 cm",NULL,131.192,131.43,131.192,131.43,"C0012D-3H-5, 38.0 cm",NULL,131.211,131.45,131.211,131.45,"C0012D-3H-5 W, 36.0--38.0 cm",CKY000000000004817000,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,133,glass beaker,6.032,2.721,11.9763,6.2858,5.9443,133,glass beaker,6.032,2.721,9.8308,4.1496,3.7988,2.2233,2.1712,1.3936,3.5648,1.4286,0.0778,0.035,3.721,0.374,0.5975,1.6675,1.0438,2.6701,0.6091,1.558,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-5, 119.0 cm",NULL,131.982,132.26,131.982,132.26,"C0012D-3H-5, 121.0 cm",NULL,132.001,132.28,132.001,132.28,"C0012D-3H-5 W, 119.0--121.0 cm",CKY000000000004817100,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,21,glass beaker,4.555,2.054,9.5449,5.0932,4.9899,21,glass beaker,4.555,2.054,7.7292,3.2854,3.1742,1.8816,1.8375,1.2017,3.0392,1.2314,0.0659,0.0297,3.1083,0.3771,0.6053,1.6418,1.0227,2.5866,0.6046,1.5291,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-6, 46.0 cm",NULL,132.634,132.945,132.634,132.945,"C0012D-3H-6, 48.0 cm",NULL,132.653,132.965,132.653,132.965,"C0012D-3H-6 W, 46.0--48.0 cm",CKY000000000004817200,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:41:01Z,198,glass beaker,6.071,2.741,11.3184,5.9958,5.2474,198,glass beaker,6.071,2.741,9.307,3.9932,3.236,2.0844,2.0355,1.2193,3.2548,1.2522,0.073,0.0329,3.163,0.3972,0.659,1.6122,0.9718,2.5941,0.6254,1.6694,fujiharaa,2011-01-04T00:06:07Z
"C0012D-3H-6, 100.0 cm",NULL,133.148,133.485,133.148,133.485,"C0012D-3H-6, 101.0 cm",NULL,133.158,133.495,133.158,133.495,"C0012D-3H-6 WR, 100.0--101.0 cm",CKY000000000004618300,PP,NULL,5,mstrasser333,NULL,CKY,2010-12-28T05:26:56Z,627,glass beaker,6.129,2.768,13.1307,6.9198,7.0017,627,glass beaker,6.129,2.768,10.7197,4.5194,4.5907,2.4984,2.4398,1.712,4.1518,1.7514,0.0874,0.0394,4.5033,0.3568,0.5548,1.6864,1.0847,2.6304,0.5876,1.4251,fujiharaa,2011-01-04T00:06:06Z
"C0012D-4H-1, 33.0 cm",NULL,134.276,134.33,134.276,134.33,"C0012D-4H-1, 35.0 cm",NULL,134.292,134.35,134.292,134.35,"C0012D-4H-1 W, 33.0--35.0 cm",CKY000000000004817300,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:42:53Z,188,glass beaker,6.023,2.676,11.382,6.0125,5.359,188,glass beaker,6.023,2.676,9.3706,4.0099,3.3476,2.0844,2.0355,1.301,3.3365,1.3339,0.073,0.0329,3.2746,0.389,0.6365,1.6062,0.9814,2.517,0.6101,1.5646,fujiharaa,2011-01-04T00:06:07Z
"C0012D-4H-1, 120.0 cm",NULL,135.002,135.2,135.002,135.2,"C0012D-4H-1, 122.0 cm",NULL,135.019,135.22,135.019,135.22,"C0012D-4H-1 W, 120.0--122.0 cm",CKY000000000004817400,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:42:53Z,141,glass beaker,6.02,2.675,10.9996,5.7662,4.9796,141,glass beaker,6.02,2.675,9.157,3.9317,3.137,1.9094,1.8646,1.2266,3.0912,1.2567,0.0668,0.0301,3.0702,0.3834,0.6219,1.6109,0.9932,2.503,0.6032,1.5201,fujiharaa,2011-01-04T00:06:07Z
"C0012D-4H-2, 21.0 cm",NULL,135.353,135.62,135.353,135.62,"C0012D-4H-2, 23.0 cm",NULL,135.37,135.64,135.37,135.64,"C0012D-4H-2 W, 21.0--23.0 cm",CKY000000000004817500,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:42:53Z,504,glass beaker,4.573,2.055,8.4478,4.6192,3.8748,504,glass beaker,4.573,2.055,6.8224,3.0009,2.2494,1.6844,1.6449,0.9193,2.5642,0.9459,0.059,0.0266,2.1904,0.4347,0.769,1.5111,0.8542,2.3827,0.6415,1.7893,fujiharaa,2011-01-04T00:06:07Z
"C0012D-4H-2, 97.0 cm",NULL,135.988,136.38,135.988,136.38,"C0012D-4H-2, 99.0 cm",NULL,136.005,136.4,136.005,136.4,"C0012D-4H-2 W, 97.0--99.0 cm",CKY000000000004817600,PP,NULL,5,coolks333,NULL,CKY,2011-01-01T00:42:53Z,633,glass beaker,6.086,2.695,10.1972,5.3052,4.1112,633,glass beaker,6.086,2.695,8.5757,3.6908,2.4897,1.6803,1.6409,0.9693,2.6102,0.9958,0.0588,0.0265,2.4309,0.4087,0.6912,1.5751,0.9313,2.5079,0.6286,1.6929,fujiharaa,2011-01-04T00:06:08Z
"C0012D-4H-2, 125.5 cm",NULL,136.226,136.665,136.226,136.665,"C0012D-4H-2, 126.5 cm",NULL,136.235,136.675,136.235,136.675,"C0012D-4H-2 WR, 125.5--126.5 cm",CKY000000000004625200,PP,NULL,5,mstrasser333,NULL,CKY,2010-12-28T08:07:05Z,26,glass beaker,4.59,2.046,12.7683,6.9676,8.1783,26,glass beaker,4.59,2.046,9.8114,4.0236,5.2214,3.0641,2.9923,1.9293,4.9216,1.9776,0.1072,0.0483,5.1142,0.3747,0.5991,1.6617,1.0391,2.6508,0.608,1.551,fujiharaa,2011-01-04T00:06:06Z
