DATAID,DATATYPE,LAT,LON,STARTDATE,ENDDATE,VARIABLE,RVNAME,CRUISEID,DSRVNAME,DIVENUM,DATAPAGE,DATAFILE,EXPNAME,EXPTYPE,HOLENAME,AUTHORS,WTRDEPTH,NUMCO,TLCLE,COREC
A20,A10,B12.6,B12.6,D,D,A255,A20,A30,A20,L5,A255,A255,A10,A10,A10,A255,B12.2,L5,B12.2,B8.2
0034-00000001,CHKUHL,32.3666967,134.966407,2016-09-10,2016-11-23,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp370,,370,IODP,C0023A,"Heuer, V.B.; Inagaki, F.; Morono, Y.; Kubo, Y.; Maeda, L.; the Expedition 370 Scientists",4775.5,112,577.68,75.8408822371013
0034-00000002,CHKUHL,33.2091667,136.687038,2016-03-26,2016-04-27,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp365,,365,IODP,C0010E,"Saffer, D.; Kopf, A.; Toczko, S.; the Expedition 365 Scientists",2538,4,22.09,71.258064516129
0034-00000003,CHKUHL,33.21004,136.686737,2016-03-26,2016-04-27,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp365,,365,IODP,C0010D,"Saffer, D.; Kopf, A.; Toczko, S.; the Expedition 365 Scientists",2526.5,1,7.19,75.6842105263158
0034-00000004,CHKUHL,33.2098317,136.686247,2016-03-26,2016-04-27,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp365,,365,IODP,C0010C,"Saffer, D.; Kopf, A.; Toczko, S.; the Expedition 365 Scientists",2524,12,52.93,55.7157894736842
0034-00000005,CHKUHL,33.2098833,136.686343,2016-03-26,2016-04-27,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp365,,365,IODP,C0010B,"Saffer, D.; Kopf, A.; Toczko, S.; the Expedition 365 Scientists",2525.5,1,0.0,0.0
0034-00000006,CHKUHL,33.2099683,136.68654,2016-03-26,2016-04-27,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp365,,365,IODP,C0010A,"Saffer, D.; Kopf, A.; Toczko, S.; the Expedition 365 Scientists",2523.7,0,0,
0034-00000007,CHKUHL,33.300845,136.636715,2013-09-13,2014-01-20,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp348,,348,IODP,C0002P,"Tobin, H.; Hirose, T.; Saffer, D.; Toczko, S.; Maeda, L.; Kubo, Y.; the Expedition 348 Scientists",1939,6,31.48,56.7207207207207
0034-00000008,CHKUHL,33.300845,136.636715,2013-09-13,2014-01-20,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp348,,348,IODP,C0002N,"Tobin, H.; Hirose, T.; Saffer, D.; Toczko, S.; Maeda, L.; Kubo, Y.; the Expedition 348 Scientists",1939,0,0,
0034-00000009,CHKUHL,33.3000967,136.637328,2013-09-13,2014-01-20,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp348,,348,IODP,C0002M,"Tobin, H.; Hirose, T.; Saffer, D.; Toczko, S.; Maeda, L.; Kubo, Y.; the Expedition 348 Scientists",1937.5,4,16.43,43.8133333333333
0034-00000010,CHKUHL,33.300845,136.636715,2013-09-13,2014-01-20,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp348,,348,IODP,C0002F,"Tobin, H.; Hirose, T.; Saffer, D.; Toczko, S.; Maeda, L.; Kubo, Y.; the Expedition 348 Scientists",1939,0,0,
0034-00000011,CHKUHL,37.938905,143.913473,2012-04-01,2012-07-19,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp343,,343,IODP,C0019E,"Chester, F.M.; Mori, J.; Eguchi, N.; Toczko, S.; the Expedition 343/343T Scientists",6918,21,54.3,39.6350364963504
0034-00000012,CHKUHL,37.9387067,143.91334,2012-04-01,2012-07-19,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp343,,343,IODP,C0019D,"Chester, F.M.; Mori, J.; Eguchi, N.; Toczko, S.; the Expedition 343/343T Scientists",6897.5,0,0,
0034-00000013,CHKUHL,37.9383883,143.913125,2012-04-01,2012-07-19,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp343,,343,IODP,C0019C,"Chester, F.M.; Mori, J.; Eguchi, N.; Toczko, S.; the Expedition 343/343T Scientists",6900,0,0,
0034-00000014,CHKUHL,37.938945,143.9135,2012-04-01,2012-07-19,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp343,,343,IODP,C0019B,"Chester, F.M.; Mori, J.; Eguchi, N.; Toczko, S.; the Expedition 343/343T Scientists",6889.5,0,0,
0034-00000015,CHKUHL,37.938945,143.9135,2012-04-01,2012-07-19,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp343,,343,IODP,C0019A,"Chester, F.M.; Mori, J.; Eguchi, N.; Toczko, S.; the Expedition 343/343T Scientists",6883.5,0,0,
0034-00000016,CHKUHL,33.218055,136.724445,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0022B,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",2674,41,303.15,89.0308370044053
0034-00000017,CHKUHL,33.2178,136.724233,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0022A,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",2704.5,0,0,
0034-00000018,CHKUHL,33.1675917,136.66435,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0021B,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",2944,14,130.69,108.546511627907
0034-00000019,CHKUHL,33.16747,136.66409,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0021A,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",2940.5,0,0,
0034-00000020,CHKUHL,33.1571983,136.681377,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0018B,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",3084.5,0,0,
0034-00000021,CHKUHL,32.7479717,136.917252,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0012H,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",3509.5,0,0,
0034-00000022,CHKUHL,33.29995,136.637,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0002L,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",1937.5,24,182.5,80.0438596491228
0034-00000023,CHKUHL,33.300105,136.636838,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0002K,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",1937.5,11,57.69,66.6936416184971
0034-00000024,CHKUHL,33.3002883,136.637187,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0002J,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",1937.5,7,22.15,58.2894736842105
0034-00000025,CHKUHL,33.3006033,136.636795,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0002I,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",1936,0,0,
0034-00000026,CHKUHL,33.30042,136.63692,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0002H,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",1936.5,2,3.91,20.5789473684211
0034-00000027,CHKUHL,33.300845,136.636715,2012-10-01,2013-01-13,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp338,,338,IODP,C0002F,"Strasser, M.; Dugan, B.; Kanagawa, K.; Moore, G.F.; Toczko, S.; Maeda, L.; the Expedition 338 Scientists",1939,0,0,
0034-00000028,CHKUHL,41.1766383,142.200547,2012-07-26,2012-09-30,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp337,,337,IODP,C0020A,"Inagaki, F.; Hinrichs, K.-U.; Kubo, Y.; the Expedition 337 Scientists",1180,32,198.4,75.2941176470588
0034-00000029,CHKUHL,33.1569917,136.68148,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0018A,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",3084.35,36,285.55,90.8960687569633
0034-00000030,CHKUHL,32.74808,136.916922,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0012G,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",3510.5,15,22.17,19.1948051948052
0034-00000031,CHKUHL,32.748025,136.916777,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0012F,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",3510.5,2,2.04,37.0909090909091
0034-00000032,CHKUHL,32.748335,136.917363,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0012E,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",3510.5,3,13.55,47.5438596491228
0034-00000033,CHKUHL,32.748335,136.917363,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0012D,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",3510.5,13,78.34,122.789968652038
0034-00000034,CHKUHL,32.748245,136.917362,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0012C,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",3510.5,15,134.65,108.152610441767
0034-00000035,CHKUHL,32.748335,136.917363,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0011E,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",3510.5,0,0,
0034-00000036,CHKUHL,32.82906,136.882083,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0011D,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",4050.5,52,383.25,106.754874651811
0034-00000037,CHKUHL,32.82906,136.882083,2010-12-12,2011-05-18,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp333,,333,IODP,C0011C,"Henry, P.; Kanamatsu, T.; Moe, K.; the Expedition 333 Scientists",4050.5,3,23.1,102.666666666667
0034-00000038,CHKUHL,32.2099683,136.68654,2010-10-25,2010-12-11,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp332,,332,IODP,C0010A,"Kopf, A.; Araki, E.; Toczko, S.; the Expedition 332 Scientists",2523.7,0,0,
0034-00000039,CHKUHL,33.30021,136.635813,2010-10-25,2010-12-11,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp332,,332,IODP,C0002G,"Kopf, A.; Araki, E.; Toczko, S.; the Expedition 332 Scientists",1937.5,0,0,
0034-00000040,CHKUHL,27.7917483,126.912028,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0017D,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1229.5,12,50.98,56.2072767364939
0034-00000041,CHKUHL,27.7917317,126.912003,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0017C,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1129.6,2,18.24,96.0
0034-00000042,CHKUHL,27.7917117,126.91196,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0017B,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1129.6,1,9.64,101.473684210526
0034-00000043,CHKUHL,27.7917167,126.91196,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0017A,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1129.6,1,8.56,97.2727272727273
0034-00000044,CHKUHL,27.7908683,126.896473,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0016B,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",998.8,3,2.04,4.53333333333333
0034-00000045,CHKUHL,27.7909133,126.896723,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0016A,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",982,1,0.0,0.0
0034-00000046,CHKUHL,27.7944817,126.891655,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0015C,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",885.5,1,2.99,103.103448275862
0034-00000047,CHKUHL,27.794455,126.891635,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0015B,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",886,1,6.37,98.0
0034-00000048,CHKUHL,27.7944633,126.891635,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0015A,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",885,0,0,
0034-00000049,CHKUHL,27.7903083,126.900738,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0014G,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1059.8,30,81.36,59.5171909290417
0034-00000050,CHKUHL,27.7902617,126.90067,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0014F,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1060.8,1,4.2,100.0
0034-00000051,CHKUHL,27.7902633,126.900677,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0014E,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1060,2,18.37,96.6842105263158
0034-00000052,CHKUHL,27.7902633,126.900677,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0014D,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1060,2,14.45,90.3125
0034-00000053,CHKUHL,27.7903233,126.900652,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0014C,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1060,1,5.19,79.8461538461539
0034-00000054,CHKUHL,27.7902183,126.900747,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0014B,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1059,5,49.13,110.404494382022
0034-00000055,CHKUHL,27.790275,126.900772,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0014A,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1059.5,1,5.32,81.8461538461538
0034-00000056,CHKUHL,27.7901633,126.897608,2010-09-01,2010-10-04,,CHIKYU,,,,http://sio7.jamstec.go.jp#exp331,,331,IODP,C0013H,"Takai, K.; Mottl, M.J.; Nielsen, S.H.; the Expedition 331 Scientists",1063.6,1,1.16,193.333333333333
